Sample,COSMIC_ID,Tissue identifier 1,Tissue identifier 2,Cancer Type,Alteration Type,Region identifier
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV42
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV43 (NF1)
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV44
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV54
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV56
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV57 (ZNRF3)
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV58
PEO1,1480372,urogenital_system,ovary,OV,Deletion,"cnaOV64 (ARID1B,MAP3K4,MLLT4)"
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV69
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV70
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV81 (RB1)
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV82
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV89
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV90
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV91 (ABL1)
PEO1,1480372,urogenital_system,ovary,OV,Deletion,cnaOV92
PL18,1240208,pancreas,pancreas,PAAD,Amplification,cnaPAAD3
PL18,1240208,pancreas,pancreas,PAAD,Amplification,cnaPAAD5 (NOTCH2)
PL4,1298533,pancreas,pancreas,PAAD,Amplification,cnaPAAD1 (WNK1)
PL4,1298533,pancreas,pancreas,PAAD,Amplification,cnaPAAD2 (KRAS)
PL4,1298533,pancreas,pancreas,PAAD,Deletion,cnaPAAD4 (CDKN2A)
PSN1,910546,pancreas,pancreas,PAAD,Amplification,cnaPAAD2 (KRAS)
PSN1,910546,pancreas,pancreas,PAAD,Deletion,cnaPAAD4 (CDKN2A)
PWR-1E,1330993,urogenital_system,prostate,PRAD,Deletion,cnaPRAD7
RC-K8,1330995,lymphoma,B_cell_lymphoma,DLBC,Deletion,cnaDLBC5
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC10
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC16
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC19
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,cnaKIRC23
RCC-AB,1524418,kidney,kidney,KIRC,Deletion,"cnaKIRC24 (FAT1,IRF2)"
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,cnaKIRC22
RCC-ER,1524417,kidney,kidney,KIRC,Deletion,"cnaKIRC24 (FAT1,IRF2)"
RCC-FG2,1524414,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC-FG2,1524414,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC-FG2,1524414,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC-FG2,1524414,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC-FG2,1524414,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC-JF,1524415,kidney,kidney,KIRC,Deletion,cnaKIRC22
RCC-JW,1524416,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC16
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC22
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,cnaKIRC23
RCC-MF,1524419,kidney,kidney,KIRC,Deletion,"cnaKIRC24 (FAT1,IRF2)"
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC3
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC4
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC12
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC13
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC14
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC15
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC22
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,cnaKIRC23
RCC10RGB,909974,kidney,kidney,KIRC,Deletion,"cnaKIRC24 (FAT1,IRF2)"
RCM-1,909263,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD31
RCM-1,909263,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD57
RCM-1,909263,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD63 (APC)
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD13
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD16
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD17 (CDKN2A)
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Amplification,cnaSTAD29 (STK4)
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD30
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD36
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD41
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD47
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD50
RERF-GC-1B,1240209,digestive_system,stomach,STAD,Deletion,cnaSTAD51
RERF-LC-MS,910931,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,"cnaLUAD10 (AHR,HDAC9)"
RERF-LC-MS,910931,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD12
RERF-LC-MS,910931,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD18
RERF-LC-MS,910931,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD19 (CDK4)
RERF-LC-MS,910931,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD27 (MYC)
RERF-LC-Sq1,1298538,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Deletion,cnaLUSC4
RERF-LC-Sq1,1298538,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Deletion,cnaLUSC10 (CDKN2A)
RERF-LC-Sq1,1298538,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Amplification,cnaLUSC26 (SOX2)
RERF-LC-Sq1,1298538,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Amplification,cnaLUSC41 (AKAP9)
RERF-LC-Sq1,1298538,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Deletion,cnaLUSC54
RF-48,909697,digestive_system,stomach,STAD,Deletion,cnaSTAD13
RF-48,909697,digestive_system,stomach,STAD,Deletion,cnaSTAD47
RF-48,909697,digestive_system,stomach,STAD,Deletion,"cnaSTAD48 (FAT1,IRF2)"
RKO,909698,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
RKO,909698,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
RKO,909698,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
RKO,909698,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
RPMI-2650,909700,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC26
RPMI-7951,910903,skin,melanoma,SKCM,Deletion,cnaSKCM22
RT-112,909704,urogenital_system,Bladder,BLCA,Deletion,"cnaBLCA5 (FAT1,IRF2)"
RT-112,909704,urogenital_system,Bladder,BLCA,Deletion,cnaBLCA6
RVH-421,909706,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
RVH-421,909706,skin,melanoma,SKCM,Amplification,"cnaSKCM21 (FOXP1,MITF)"
RXF393,905978,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
RXF393,905978,kidney,kidney,KIRC,Deletion,cnaKIRC16
RXF393,905978,kidney,kidney,KIRC,Deletion,cnaKIRC19
RXF393,905978,kidney,kidney,KIRC,Deletion,"cnaKIRC24 (FAT1,IRF2)"
SAS,909708,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC20
SAS,909708,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC32 (FAT1)
SAT,1299050,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC20
SCC-15,910911,aero_dig_tract,head and neck,HNSC,Amplification,cnaHNSC2 (EGFR)
SCC-15,910911,aero_dig_tract,head and neck,HNSC,Amplification,"cnaHNSC17 (CCND1,CTTN)"
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC3
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC6
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC11 (CDKN2A)
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Amplification,"cnaHNSC17 (CCND1,CTTN)"
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC19 (MED17)
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC26
SCC-25,910701,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC32 (FAT1)
SCC-4,910904,aero_dig_tract,head and neck,HNSC,Amplification,"cnaHNSC17 (CCND1,CTTN)"
SCC-4,910904,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC26
SCC-9,909709,aero_dig_tract,head and neck,HNSC,Amplification,cnaHNSC9 (FANCG)
SCC-9,909709,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC11 (CDKN2A)
SCC-9,909709,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC32 (FAT1)
SCC90,1299052,aero_dig_tract,head and neck,HNSC,Amplification,cnaHNSC33
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM77
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM93
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM94
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM95
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM132
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM133
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM134
SF126,909712,nervous_system,glioma,GBM,Deletion,cnaGBM135
SF268,905986,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
SF268,905986,nervous_system,glioma,GBM,Deletion,cnaGBM14
SF295,905985,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
SF295,905985,nervous_system,glioma,GBM,Deletion,"cnaGBM19 (FAT1,IRF2)"
SF539,905984,nervous_system,glioma,LGG,Amplification,cnaLGG16 (EGFR)
SH-4,909713,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SiHa,930297,urogenital_system,cervix,CESC,Amplification,cnaCESC4 (ASXL1)
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD35 (FLT3,WASF3)"
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD37 (ING1,IRS2,TFDP1)"
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD47 (MYC)
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD51 (MET)
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD55
SK-CO-1,909718,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD56
SK-GT-2,1503364,digestive_system,stomach,STAD,Deletion,cnaSTAD13
SK-GT-2,1503364,digestive_system,stomach,STAD,Amplification,cnaSTAD26 (MYC)
SK-GT-2,1503364,digestive_system,stomach,STAD,Deletion,cnaSTAD27 (MAP2K4)
SK-GT-2,1503364,digestive_system,stomach,STAD,Deletion,cnaSTAD41
SK-GT-4,1503365,aero_dig_tract,oesophagus,ESCA,Deletion,cnaESCA1
SK-HEP-1,909719,digestive_system,liver,LIHC,Deletion,cnaLIHC7 (CDKN2A)
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Deletion,cnaLUAD1 (CDKN2A)
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD3 (TERT)
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD12
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD17 (KRAS)
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD18
SK-LU-1,909721,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD22 (ASXL1)
SK-MEL-1,909723,skin,melanoma,SKCM,Amplification,cnaSKCM12 (KRAS)
SK-MEL-1,909723,skin,melanoma,SKCM,Amplification,"cnaSKCM13 (MDM2,NUP107)"
SK-MEL-1,909723,skin,melanoma,SKCM,Deletion,cnaSKCM26
SK-MEL-2,905955,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SK-MEL-2,905955,skin,melanoma,SKCM,Deletion,cnaSKCM9
SK-MEL-2,905955,skin,melanoma,SKCM,Deletion,cnaSKCM20
SK-MEL-2,905955,skin,melanoma,SKCM,Deletion,cnaSKCM27 (CASP1)
SK-MEL-2,905955,skin,melanoma,SKCM,Deletion,cnaSKCM28
SK-MEL-24,909725,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SK-MEL-24,909725,skin,melanoma,SKCM,Deletion,cnaSKCM22
SK-MEL-28,905954,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SK-MEL-28,905954,skin,melanoma,SKCM,Amplification,cnaSKCM12 (KRAS)
SK-MEL-28,905954,skin,melanoma,SKCM,Amplification,cnaSKCM14 (NOTCH2)
SK-MEL-28,905954,skin,melanoma,SKCM,Amplification,"cnaSKCM21 (FOXP1,MITF)"
SK-MEL-30,909726,skin,melanoma,SKCM,Amplification,"cnaSKCM21 (FOXP1,MITF)"
SK-MEL-31,909727,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SK-MEL-31,909727,skin,melanoma,SKCM,Amplification,cnaSKCM12 (KRAS)
SK-MEL-31,909727,skin,melanoma,SKCM,Deletion,cnaSKCM24
SK-MEL-31,909727,skin,melanoma,SKCM,Deletion,cnaSKCM25
SK-MEL-31,909727,skin,melanoma,SKCM,Deletion,cnaSKCM27 (CASP1)
SK-MEL-31,909727,skin,melanoma,SKCM,Deletion,cnaSKCM30
SK-MEL-5,905956,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
SK-MEL-5,905956,skin,melanoma,SKCM,Amplification,cnaSKCM6 (TERT)
SK-MES-1,909728,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Deletion,cnaLUSC10 (CDKN2A)
SK-MES-1,909728,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,Deletion,cnaLUSC51
SK-MG-1,909729,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
SK-MG-1,909729,nervous_system,glioma,GBM,Deletion,"cnaGBM19 (FAT1,IRF2)"
SK-MG-1,909729,nervous_system,glioma,GBM,Deletion,cnaGBM56 (NF1)
SK-MG-1,909729,nervous_system,glioma,GBM,Deletion,cnaGBM127
SK-OV-3,905959,urogenital_system,ovary,OV,Amplification,cnaOV4 (KRAS)
SK-OV-3,905959,urogenital_system,ovary,OV,Amplification,cnaOV72 (ASXL1)
SK-OV-3,905959,urogenital_system,ovary,OV,Amplification,cnaOV95 (MECOM)
SK-OV-3,905959,urogenital_system,ovary,OV,Amplification,cnaOV99 (DHX9)
SK-OV-3,905959,urogenital_system,ovary,OV,Amplification,cnaOV101 (PMS1)
SKG-IIIa,930298,urogenital_system,cervix,CESC,Deletion,cnaCESC3 (PAX5)
SKG-IIIa,930298,urogenital_system,cervix,CESC,Deletion,cnaCESC14
SKN-3,1299059,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC6
SKN-3,1299059,aero_dig_tract,head and neck,HNSC,Deletion,cnaHNSC11 (CDKN2A)
SNB75,905982,nervous_system,glioma,GBM,Deletion,cnaGBM133
SNG-M,909735,urogenital_system,endometrium,UCEC,Deletion,cnaUCEC8 (SRGAP3)
SNU-182,1240216,digestive_system,liver,LIHC,Deletion,cnaLIHC13
SNU-283,1659929,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD27 (MAP2K4)
SNU-283,1659929,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD31
SNU-283,1659929,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD32 (STK4)
SNU-283,1659929,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD63 (APC)
SNU-387,909736,digestive_system,liver,LIHC,Deletion,cnaLIHC7 (CDKN2A)
SNU-407,1660034,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD24
SNU-407,1660034,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SNU-407,1660034,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD49
SNU-407,1660034,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SNU-423,909737,digestive_system,liver,LIHC,Amplification,cnaLIHC1 (TERT)
SNU-423,909737,digestive_system,liver,LIHC,Amplification,cnaLIHC5
SNU-423,909737,digestive_system,liver,LIHC,Amplification,cnaLIHC9 (FOXA2)
SNU-423,909737,digestive_system,liver,LIHC,Amplification,cnaLIHC11
SNU-449,909738,digestive_system,liver,LIHC,Deletion,cnaLIHC7 (CDKN2A)
SNU-449,909738,digestive_system,liver,LIHC,Deletion,cnaLIHC10 (RB1)
SNU-449,909738,digestive_system,liver,LIHC,Deletion,cnaLIHC13
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD47 (MYC)
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD48
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD54 (SMAD4)
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD55
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD56
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD63 (APC)
SNU-61,1660035,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SNU-81,1660036,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SNU-81,1660036,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD49
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD18
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD24
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD32 (STK4)
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD35 (FLT3,WASF3)"
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD37 (ING1,IRS2,TFDP1)"
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD44
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD49
SNU-C1,910905,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD63 (APC)
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD14
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD18
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD24
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD38 (CDKN2A)
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD54 (SMAD4)
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD55
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD56
SNU-C2B,909740,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SNU-C5,1674021,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SNU-C5,1674021,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
SNU-C5,1674021,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD49
SNU-C5,1674021,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SU8686,1240218,pancreas,pancreas,PAAD,Amplification,cnaPAAD2 (KRAS)
SU8686,1240218,pancreas,pancreas,PAAD,Deletion,cnaPAAD4 (CDKN2A)
SUIT-2,1240219,pancreas,pancreas,PAAD,Deletion,cnaPAAD4 (CDKN2A)
SW1088,909745,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
SW1088,909745,nervous_system,glioma,GBM,Deletion,cnaGBM101
SW1088,909745,nervous_system,glioma,GBM,Amplification,cnaGBM122
SW1088,909745,nervous_system,glioma,GBM,Amplification,cnaGBM123 (EGFR)
SW1088,909745,nervous_system,glioma,GBM,Amplification,cnaGBM124
SW1088,909745,nervous_system,glioma,GBM,Amplification,cnaGBM125 (AKAP9)
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD48
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD54 (SMAD4)
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD55
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD56
SW1116,909746,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SW1417,909747,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SW1417,909747,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD14
SW1417,909747,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD31
SW1417,909747,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD32 (STK4)
SW1417,909747,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SW1417,909747,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD48
SW1463,909748,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SW1463,909748,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SW1463,909748,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD35 (FLT3,WASF3)"
SW1463,909748,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD36
SW1463,909748,large_intestine,large_intestine,COAD/READ,Amplification,"cnaCOREAD37 (ING1,IRS2,TFDP1)"
SW1463,909748,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD45
SW1463,909748,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SW1573,724878,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Deletion,cnaLUAD1 (CDKN2A)
SW1573,724878,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Deletion,cnaLUAD15
SW1710,909749,urogenital_system,Bladder,BLCA,Amplification,cnaBLCA15 (ASXL1)
SW1710,909749,urogenital_system,Bladder,BLCA,Amplification,cnaBLCA23 (MYC)
SW1783,909750,nervous_system,glioma,LGG,Amplification,"cnaLGG13 (FGFR1,WHSC1L1)"
SW1783,909750,nervous_system,glioma,LGG,Amplification,cnaLGG16 (EGFR)
SW1990,910907,pancreas,pancreas,PAAD,Deletion,cnaPAAD4 (CDKN2A)
SW48,909751,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
SW48,909751,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SW48,909751,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD66
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD11
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD12 (PCDH18)
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD13
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD18
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD19
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD24
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD27 (MAP2K4)
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD33
SW620,905962,large_intestine,large_intestine,COAD/READ,Amplification,cnaCOREAD47 (MYC)
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD54 (SMAD4)
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD55
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD56
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD65
SW620,905962,large_intestine,large_intestine,COAD/READ,Deletion,cnaCOREAD66
